title,url,type,date,summary
What OpenEd families are searching for in the marketplace,https://opened.co/newsletter/what-opened-families-are-searching-for-in-the-marketplace,daily,2025-12-05,"Homeschool art curricula, what to do with a kid who won't practice their instrument, and the four most popular searches in the OpenEd marketplace."
When (not) to quit music lessons,https://opened.co/newsletter/when-not-to-quit-music-lessons,daily,2025-12-04,Why mastering something—anything—might be the real lesson.
Homeschool Art Curriculum | OpenEd,https://opened.co/blog/homeschool-art-curriculum-opened,blog,2025-12-03,"Comprehensive homeschool art curriculum guide by age. Teacher-tested programs, free resources, and practical tips to nurture creativity without the overwhelm."
Don’t Quit Music Lessons Just Because Your Kid Won’t Practice,https://opened.co/podcast/the-wasted-years-of-music-lessons-and-why-they-matter,podcast,2025-12-04,"Deborah Pratt of SO School of Music reframes the “practice or quit” mindset, explaining why just showing up to lessons builds brains, identity, and lifelong musical skill."
Homeschooling doesn't mean what it used to,https://opened.co/newsletter/homeschooling-doesnt-mean-what-it-used-to,daily,2025-12-02,"A 5-year-old teaches her brother to read. PLUS: Why ""homeschool"" is the wrong word now."
"3 kids, 3 different schools, 1 surprising lesson",https://opened.co/newsletter/3-kids-3-different-schools-1-surprising-lesson,daily,2025-12-01,"One family, three kids, three different paths. PLUS: Why confidence beats toughness."
Homeschooling year-round without burnout,https://opened.co/newsletter/homeschooling-year-round-without-burnout,daily,2025-11-26,"Jean Lee explains why long “deschooling” breaks can backfire, and how a gentle year-round rhythm prevents burnout and painful restarts."
Kindergarten Homeschool Curriculum: A Guide to Freedom-Based Learning,https://opened.co/blog/kindergarten-homeschool-curriculum,blog,2025-11-25,Kindergarten Homeschool Curriculum | OpenEd
How to Homeschool Year-Round (Without Burnout),https://opened.co/podcast/how-to-homeschool-year-round-without-burnout,podcast,2025-11-26,"Founder of the Academy of Chaos Jean Lee reveals why year-round homeschooling creates less stress, not more—and how one weekend of planning buys guilt-free snow days all year."
How to influence your kid (without controlling them),https://opened.co/newsletter/how-to-influence-your-kid-without-controlling-them,daily,2025-11-24,Joshua Fields Millburn offers a helpful metaphor on The Minimalists podcast: You can't direct a river if you don't know which way it flows. PLUS: Learn guitar like a video game.
Why teen anxiety drops in May and spikes in August,https://opened.co/newsletter/why-teen-anxiety-drops-in-may-and-spikes-in-august,daily,2025-11-21,"Mental health improves when school stops, and gets worse again in August. PLUS: The explosion of forest schools (and how to join one part-time), and a sneak peek at December clubs."
What's behind the annual spike in youth anxiety & depression,https://opened.co/podcast/every-august-youth-mental-health-crises-spike-every-june-they-plummet-its-not-a-coincidence,podcast,2025-11-20,"Dr. Peter Gray reveals why children thrive with freedom, play, and self-directed learning, and how modern schooling—not smartphones—drives anxiety and depression in teens. "
Reading connects to everything,https://opened.co/newsletter/reading-connects-to-everything,daily,2025-11-18,"33% of eighth graders read below basic. When reading fails, everything fails. Here's what would force accountability. PLUS: The high-dosage tutoring service accessible at no cost through OpenEd."
The boy who was 'supposed to' fail,https://opened.co/newsletter/the-boy-who-was-supposed-to-fail,daily,2025-11-17,Jean's neurodivergent son thrives because homeschooling freed him to find PURPOSE. Here's the framework that makes it work.
A psychologist explains why your kid is ignoring you,https://opened.co/newsletter/a-psychologist-explains-why-your-kid-is-ignoring-you,daily,2025-11-14,"The brain is designed to hear tiger sounds, not mom's voice. Here's what to do instead. PLUS: the best homeschool science curricula. "
"Why Your ADHD Kid ""Won't Listen"" (It's Not What You Think)",https://opened.co/podcast/why-your-adhd-kid-wont-listen-its-not-what-you-think,podcast,2025-11-13,"Your ADHD child isn't ignoring you—they literally can't hear you. Learn the brain science behind meltdowns and how to remediate cognitive weaknesses, not just accommodate them."
Best Homeschool Science Curriculum,https://opened.co/blog/best-homeschool-science-curriculum,blog,2025-11-12,Best Homeschool Science Curriculum | OpenEd
Why 'bored' kids are winning,https://opened.co/newsletter/why-bored-kids-are-winning,daily,2025-11-10,Grade levels were invented for efficiency. Screen time was designed for dopamine. Here's what actually works.
How to Keep Your Kid in Music Lessons (Without Forcing Them to Practice),https://opened.co/podcast/how-to-keep-your-kid-in-music-lessons-without-forcing-them-to-practice,podcast,2025-11-20,"Confession: I quit piano lessons when I was in middle school. My mom thought it would be good for me, but I lost interest. It felt forced. Looking back, I wonder what would have happened if someone had told my mom that keeping me in lessons didn't require perfect practice habits—that showing up itself might have been enough to build a lifelong skill. That realization changed everything for Deborah Pratt, a music educator who runs the Southern Oregon School of Music and teaches 172 students, many from homeschooling families."
How to teach calculus like a pro (even if you're not a math person),https://opened.co/newsletter/how-to-teach-calculus-like-a-pro-even-if-youre-not-a-math-person,daily,2025-11-07,You don't need to know math to find out which tools work for YOUR kid.
ADHD and Homeschooling,https://opened.co/newsletter/adhd-and-homeschooling,daily,2025-10-31,"When traditional classrooms fail ADHD learners, homeschooling offers freedom and focus. Explore practical insights from a mom who’s been there."
Best Homeschool Math Curriculum,https://opened.co/blog/best-homeschool-math-curriculum,blog,2025-11-05,"Not a “math person”? Discover the best homeschool math curriculum for every learning style—mastery, visual, and adaptive."
"When to worry if your child is ""behind"" in reading",https://opened.co/newsletter/when-to-worry-if-your-child-is-behind-in-reading,daily,2025-10-31,"Chad Aldeman says kids who fall behind in reading have a hard time catching up. Should you panic if your six-year-old isn't reading ""at grade level""?"
The Etsy Effect: How (Not) to Kill Your Child's Passions,https://opened.co/podcast/how-grading-your-childs-passion-actually-destroys-it,podcast,2025-11-06,Educational technologist Brenna Clarke Gray unpacks when external rewards replace genuine curiosity. Learn how to foster intrinsic motivation and lifelong learning in children.
We're spending billions to break something that came free,https://opened.co/newsletter/were-spending-billions-to-break-something-that-came-free,daily,2025-11-03,Peter Gray says kids are designed to self-educate. So we spend $16K/year to stop them. PLUS: The book that started it all.
"""Have you considered not going to school?""",https://opened.co/newsletter/have-you-considered-not-going-to-school,daily,2025-10-30,A former teacher's first question to struggling students: 'Have you considered not going to school?' How 70% of families found an exit ramp. PLUS: Two paths for families with no alternatives.
What Happens When a Teacher Tells Teens to Stop Going to School,https://opened.co/podcast/what-happens-when-a-teacher-tells-teens-to-stop-going-to-school,podcast,2025-10-30,"When I scheduled a podcast with Ken Danford, I expected a measured conversation about alternative education. What I got was a former public-school teacher who now spends his life inviting teens to quit school—and helping families make that decision without panic. Ken doesn’t hedge. “Have you considered not going?” is the first thing he tells a miserable student. Then he backs it up with a plan. The plan has been running for nearly 30 years."
Homeschooling a Child with ADHD,https://opened.co/blog/homeschooling-a-child-with-adhd,blog,2025-10-29,Andrea Fife found out she had ADHD at 36. Here's what she wishes someone had told her about raising her sons.
The 5 real gaps homeschooling creates,https://opened.co/newsletter/the-5-real-gaps-homeschooling-creates,daily,2025-10-28,"The 5 real gaps homeschooling creates, the 3 skills that make you irreplaceable, and why creation beats consumption. "
"""Mommy, did you get distracted too?""",https://opened.co/newsletter/mommy-did-you-get-distracted-too,daily,2025-10-27,A first grader came home with an hour of homework on day two. His question broke his mom's heart. PLUS: A simple tool that actually helps.
Why 1.5 million students are in microschools now,https://opened.co/newsletter/why-1-5-million-students-are-in-microschools-now,daily,2025-10-24,"This week: the grassroots microschool movement reshaping American education, the public school principal who unschooled six kids, and why mastery matters more than seat time."
A public school administrator shares the truth about homeschooling,https://opened.co/newsletter/a-public-school-administrator-shares-the-truth-about-homeschooling,daily,2025-10-23,"They all turned out just fine. Better than fine, actually. PLUS: The Southwest napkin philosophy that changes everything."
"Small Schools, Big Difference: A Primer on Microschools",https://opened.co/blog/small-schools-big-difference-a-primer-on-microschools,blog,2025-10-22,"Microschools combine homeschool personalization with peer learning. Find or start a microschool with 2-3 day schedules, mixed-age groups, and ESA funding."
The Diploma Dilemma,https://opened.co/newsletter/the-diploma-dilemma,daily,2025-10-21,One parent's worry about straying from the traditional path. PLUS: When employers don't understand homeschooling (and how one grad proved them wrong).
Measure learning; not teaching,https://opened.co/newsletter/measure-learning-not-teaching,daily,2025-10-20,Sal Khan's house-building analogy makes the case for mastery-based learning. PLUS: The platform for making it work.
Education needs a software update,https://opened.co/newsletter/education-needs-a-software-update,daily,2025-10-17,"Why education is an operating system, not a game show. Plus: the $10M discovery about friendship, and what your kid's video game obsession is actually telling you."
You're Not a Teacher. You're an Education Designer.,https://opened.co/newsletter/youre-not-a-teacher-youre-an-education-designer,daily,2025-10-16,"When a quarter of boys are medicated to fit the system, something's broken. PLUS: Why homeschooling is now high-status in San Francisco."
What is Open Education?,https://opened.co/blog/what-is-open-education,blog,2025-10-15,Discover how open education is redefining learning in the 21st century. Explore the shift from rigid school systems to a flexible “education operating system”. 
The School-to-Prescription Pipeline: Ben Somers on How We Medicate Kids Who Don't Fit the Mold,https://opened.co/podcast/the-school-to-prescription-pipeline-ben-somers-on-how-we-medicate-kids-who-dont-fit-the-mold,podcast,2025-10-16,"When a quarter of boys are medicated to fit the classroom, something's broken. Ben Somers was put on 70mg of Concerta at age 11—not to help him learn, but to make the system work. Now he's building the alternative. Discover why homeschooling is becoming high-status, how kids labeled ""unmotivated"" transform instantly in the right environment, and what parents need to know about becoming education designers instead of teachers."
Einstein had a tutor?,https://opened.co/newsletter/einstein-had-a-tutor,daily,2025-10-14,"Why ""experts"" tell parents their kids should slow down—and what Einstein's tutor teaches us. PLUS: Self-paced STEM learning for advanced learners."
The Lawnmower Fallacy,https://opened.co/newsletter/the-lawnmower-fallacy,daily,2025-10-13,Your parents have weirdly specific ideas about success—and they're usually wrong. PLUS: Free field trip ideas that beat a week of worksheets.
Raising kids who lead with compassion,https://opened.co/newsletter/raising-kids-who-lead-with-compassion,daily,2025-10-09,"Kerry Owen's 22-year-old didn't want to help deliver food. She forced him. He admitted afterward: 'Actually, that was pretty fun.' PLUS: How to document service on transcripts."
Your Kid's Screen Was Built Like a Slot Machine,https://opened.co/podcast/your-kids-screen-was-built-like-a-slot-machine-copy,podcast,2025-10-08,"Explore how screens affect children's nervous systems with Daylight Computer founder Anjan Katta. Learn about e-ink technology creating healthier alternatives for education, ADHD support, and personalized learning."
Why your kids need you... less,https://opened.co/newsletter/why-your-kids-need-you-less,daily,2025-10-07,Lenore Skenazy on why constant supervision kills confidence. PLUS: The 40% fear floor trapping every parent.
Can AI teach your kid to think?,https://opened.co/newsletter/can-ai-teach-your-kid-to-think,daily,2025-10-06,"Why a neuroscientist says AI speeds up learning but can't replace the human touch. PLUS: Alpha School's 2-hour AI model arrives (with a catch), and turn The Hobbit into custom coloring pages in 30 seconds."
Virtual school 1.0 vs 2.0 (spot the difference),https://opened.co/newsletter/virtual-school-1-0-vs-2-0-spot-the-difference,daily,2025-10-03,"One involved Gallery View hell, the other actually works. Plus: the middle school brain window closing at 14, and why Netflix taught us more than UCLA."
Test html,https://opened.co/blog/test-html,blog,2025-10-03,
Your Kid's Screen Was Built Like a Slot Machine,https://opened.co/blog/the-great-unbundling-virtual-school-in-the-post-covid-era,blog,2025-10-01,"Explore how screens affect children's nervous systems with Daylight Computer founder Anjan Katta. Learn about e-ink technology creating healthier alternatives for education, ADHD support, and personalized learning."
Create Before You Consume,https://opened.co/newsletter/create-before-you-consume,daily,2025-09-30,"Isaac Morehouse’s “make something before you watch something” rule, Brian Ray’s latest research, and 10 YouTube channels that justify screen time."
Parenting Is a Learning Lab,https://opened.co/newsletter/parenting-is-a-learning-lab,daily,2025-09-29,Matt Bowman reminds us there’s no manual for raising unique kids—and spotlights the Wichita Learning Lab built to honor that truth.
Montessori Curriculum for Homeschooling,https://opened.co/blog/montessori-curriculum-for-homeschooling,blog,2025-09-24,"Explore the Montessori homeschool curriculum with OpenEd's comprehensive guide to materials, principles, and age-specific adaptations for authentic child-led learning at home."
How to Raise Kids Who Actually Care About Others,https://opened.co/podcast/how-to-raise-kids-who-actually-care-about-others,podcast,2025-10-09,How One Mom Turned Compassion into a Global Mission
Why a Public School Principal Told Me to Homeschool My Kids,https://opened.co/podcast/why-a-public-school-principal-told-me-to-homeschool-my-kids,podcast,2025-10-23,Do homeschool kids end up with gaps in their learning? This public school administrator says otherwise.
Why Middle School Matters,https://opened.co/podcast/why-middle-school-matters-more-than-college-prep-the-science-parents-are-missing,podcast,2025-10-02,"New research shows middle schoolers' brains absorb information like toddlers—and parents are missing the most critical window for career exploration. Jean Eddy, CEO of American Student Assistance, explains why waiting until high school is too late."
How to reclaim your teenager's affection,https://opened.co/podcast/teenage-rebellion-is-a-myth-or-it-can-be,podcast,2025-09-25,"We’ve accepted a cultural script that says teenagers will inevitably pull away from their parents. The eye-rolling, the slammed doors, the obsession with friends—it’s just a phase to be endured. "
She didn't know she couldn't do it,https://opened.co/newsletter/she-didnt-know-she-couldnt-do-it,daily,2025-09-23,A teenager disproves a 40-year-old conjecture. Schools scramble to copy microschools. AI learns when not to help.
The conveyor belt to nowhere,https://opened.co/newsletter/the-conveyor-belt-to-nowhere,daily,2025-09-22,"Why your honor student still lives in the basement. PLUS: Public schools go rogue with microschooling model, and Mario still teaches typing?"
The Hollywood Veterans Teaching Kids to Break Into Film,https://opened.co/podcast/the-hollywood-veterans-teaching-kids-to-break-into-film,podcast,2025-09-17,What Two Teachers Discovered When They Stopped Managing Childhood
The Lost Art of Play,https://opened.co/podcast/lost-art-of-play,podcast,2025-09-17,"Why children need unstructured play, not more screen time: How microschools are engineering play back into education with 3 hours outside daily."
CEO vs. Gardener: What kind of homeschool parent are you?,https://opened.co/newsletter/ceo-vs-gardener-what-kind-of-homeschool-parent-are-you,daily,2025-09-16,Why the best homeschool parents are firing the micromanager. PLUS: A simple exercise to uncover your child's true passions.
The 6-Hour School Day is a Lie,https://opened.co/newsletter/the-6-hour-school-day-is-a-lie,daily,2025-09-15,A reclusive billionaire just proved it. PLUS: Why every textbook you own is now worthless.
What kind of homeschool parent are you?,https://opened.co/podcast/how-to-homeschool-the-open-education-way,podcast,2025-09-16,"An ""Anti-How-To"" Guide to Building a Learning Framework as Unique as Your Child"
Who is your child’s best teacher?,https://opened.co/blog/who-is-your-childs-best-teacher,blog,2025-09-10,"Yes, you are qualified to teach your kids. How modern homeschoolers are redefining the parent’s role in education."
Fund Families Not Systems: How One Simple Change Could Fix American Education,https://opened.co/podcast/fund-families-not-systems-corey-deangelis-on-the-parent-revolution,podcast,2025-09-18,Corey DeAngelis explains how 17 states revolutionized education by letting dollars follow students instead of institutions. The parent revolution breakthrough.
Newton was right (here's the proof),https://opened.co/newsletter/newton-was-right-heres-the-proof,daily,2025-09-09,"Finally, video proof of what you memorized in 7th grade. PLUS: The workbooks kids rank above everything."
Science Doesn't Have to Be Boring,https://opened.co/newsletter/science-doesnt-have-to-be-boring,daily,2025-09-08,Mark Rober's mission to reach one billion brains. PLUS: A $100 microscope setup that turns everyday objects into alien landscapes.
The Genius We Engineer Away,https://opened.co/podcast/the-genius-we-engineer-away,podcast,2025-09-11,Why our obsession with credentials is systematically destroying the very thing we claim to cultivate.
What we get wrong about socialization,https://opened.co/newsletter/what-we-get-wrong-about-socialization,daily,2025-09-05,It's not about being around kids the same age. It's about navigating the real world. PLUS: a new way to get hired.
How to get a job without applying for one,https://opened.co/newsletter/how-to-get-a-job-without-applying-for-one,daily,2025-09-04,How an 18-year-old landed a tech career without applying. PLUS: A playbook for the other path—getting into college.
The Homeschool Socialization Question (Let's Get Weird),https://opened.co/blog/homeschool-socialization,blog,2025-09-04,"""What about socialization?"" The homeschool question every parent faces. Why age-segregated schools may harm social development more than help it."
Why smart parents make bad education choices,https://opened.co/newsletter/why-smart-parents-make-bad-education-choices,daily,2025-09-02,Why parents choose the wrong school (it's not about the kids). PLUS: AI forces the education question no one wants to answer.
How an 18-Year-Old Landed a Tech Sales Job Without a Degree,https://opened.co/podcast/how-an-18-year-old-landed-a-tech-sales-job-without-a-degree,podcast,2025-09-04,"No degree? No problem. In this episode, Isaac sits down with 18-year-old Kade Hinkle, who landed a full-time job in B2B SaaS sales before he even graduated high school."
Is the school year obsolete?,https://opened.co/newsletter/is-the-school-year-obsolete,daily,2025-08-29,"We don't farm in the summers anymore, so why do we still follow a farmer's calendar? PLUS: Get the book for 50% off this week only."
"If you dread ""Back to School,"" read this.",https://opened.co/blog/if-you-dread-back-to-school-read-this,blog,2025-08-27,You already have all the tools you need to create a rich learning environment at home. PLUS: Get 50% off the Open Education book and join our free live event.
He sold his house to homeschool in a 300-square-foot RV (with 3 kids),https://opened.co/podcast/he-sold-his-house-to-homeschool-in-a-300-square-foot-rv-with-3-kids,podcast,2025-08-28,Zach Koon traded his house for an RV classroom. PLUS: The coding bootcamp helping homeschoolers earn college credits.
Why are Tech CEOs sounding more like 90s homeschool moms?,https://opened.co/newsletter/why-are-tech-ceos-sounding-more-like-90s-homeschool-moms,daily,2025-08-26,"Why ""school switching"" is the new normal. PLUS: The one skill that beats AI, and a field guide to the education underground."
How schools fail the average kid,https://opened.co/newsletter/how-schools-fail-the-average-kid,daily,2025-08-05,Who does standardized education really fail? PLUS: A charter school's wild solution to the tutoring problem. 
Why classical education is making a comeback,https://opened.co/newsletter/why-classical-education-is-making-a-comeback,daily,2025-08-23,
Deep Dive: Classical Education Explained,https://opened.co/newsletter/deep-dive-classical-education-explained,daily,2025-08-21,
Classical Education: Understanding the Model and Approach,https://opened.co/blog/classical-education,blog,2025-08-20,"Discover classical education's rich history and modern revival for homeschoolers. Compare curriculum options like Great Hearts Online, Classical Conversations, and Latin programs."
Why Students Quit Online School—Until This Stanford Pioneer Made One Radical Change,https://opened.co/podcast/ray-ravaglia-online-school,podcast,2025-08-20,"Ray Ravaglia created the first online AP course in 1989 and founded Stanford Online High School. After three decades of innovation, he discovered why most online education fails—and it has nothing to do with technology."
Finding Your Child's Superpower: Why 'Average' Students Need Specialized Attention,https://opened.co/podcast/finding-your-childs-superpower,podcast,2025-08-19,"Charter school founder Mike Goldstein reveals education's blind spot: Schools have programs for struggling students and gifted kids, but the vast middle—the ""average"" students—get nothing. Here's why that's a crisis."
The 5 fears killing your homeschool confidence,https://opened.co/newsletter/the-5-fears-killing-your-homeschool-confidence,daily,2025-08-16,
Deep Dive: How to Start Homeschooling With Confidence,https://opened.co/newsletter/deep-dive-how-to-start-homeschooling-with-confidence,daily,2025-08-14,Learn how to start homeschooling with confidence even if you're scared or new. Overcome the 5 biggest homeschool fears with practical tips from experienced mom and coach Meg Thomas.
"Dyslexia guide, two-hour school days, and a $71B dropout",https://opened.co/newsletter/dyslexia-guide-two-hour-school-days-and-a-71b-dropout,daily,2025-08-09,
College-for-All Is Breaking. What Replaces It?,https://opened.co/podcast/college-for-all-is-breaking-what-replaces-it,podcast,2025-08-14,"Education experts Michelle Rhee and Michael Horn discuss career alternatives to college, apprenticeships, and preparing teens for tomorrow's job market."
How to Start Homeschooling With Confidence (Even If You're Scared or New) ,https://opened.co/blog/how-to-start-homeschooling-with-confidence-even-if-youre-scared-or-new,blog,2025-08-13,New homeschoolers: Build confidence and overcome fears with coach Meg Thomas's proven strategies. Get practical advice for starting your homeschool journey successfully.
Parents Guide to Homeschooling Students with Dyslexia,https://opened.co/newsletter/deep-dive-dyslexia-resources-for-homeschool-parents,daily,2025-08-07,Guide to Homeschooling Students with Dyslexia
College dropout becomes billionaire (again),https://opened.co/newsletter/college-dropout-becomes-billionaire-again,daily,2025-08-05,Figma founder Dylan Field becomes 4th Thiel Fellowship billionaire dropout. Explore 7 alternative career paths that skip college and build real-world skills.
The future-proof career prep guide for teens,https://opened.co/newsletter/the-future-proof-career-prep-guide-for-teens,daily,2025-08-02,"Homeschool news: NYT article response, 7 future-proof career prep strategies, plus tools and trends for families choosing educational alternatives."
"🐴 ""That's not knowledge"" — MythBusters' Adam Savage goes viral.",https://opened.co/newsletter/thats-not-knowledge----mythbusters-adam-savage-goes-viral,daily,2025-04-18,"Adam Savage critiques standardized tests, Thiel Fellowship creates 11 billion-dollar companies, plus AI tutoring and homeschool socialization insights."
🐴 The factory model of education is dying,https://opened.co/newsletter/the-factory-model-of-education-is-dying,daily,2025-05-05,The surprising reason 40% of students are leaving traditional schools. PLUS: the video game that's teaching kids to overcome frustration...
🐴 Hands-on learning (backyard chickens edition),https://opened.co/newsletter/hands-on-learning-backyard-chickens-edition,daily,2025-05-07,"Backyard chickens for homeschool: Teach math, science, and business skills through hands-on chicken keeping. Get our complete starter guide and resources."
🐴 Are we teaching STEM backwards?,https://opened.co/newsletter/are-we-teaching-stem-backwards,daily,2025-05-08,An interview with Jack Casdorph and Rachael Davie on why theory-first education fails and how projects spark real curiosity
🐴 The 200-year-old mistake we're still making,https://opened.co/newsletter/the-200-year-old-mistake-were-still-making,daily,2025-05-15,"A conversation with Matt Bowman and Isaac Morehouse on the history of schooling, standardization, and the power of ""not yet""
"
🐴 Balancing remote work and parenting,https://opened.co/newsletter/balancing-remote-work-and-parenting,daily,2025-05-21,Teachers share the reality of WFH parenting success.
🐴 OpenEd Academy: the school that adapts to YOUR child (not the other way around),https://opened.co/newsletter/opened-academy-the-school-that-adapts-to-your-child-not-the-other-way-around,daily,2025-05-22,Introducing our new virtual private school—nationwide enrollment now open! Plus: $100 free Outschool credits
🐴 What happens when a school actually trusts parents?,https://opened.co/newsletter/what-happens-when-a-school-actually-trusts-parents,daily,2025-05-23,Teresa King reveals education's trust problem. PLUS: OpenEd teachers share genius work-from-home hacks.
🐴 *Tuttle Twins* author on the two modes of learning,https://opened.co/newsletter/tuttle-twins-author-on-the-two-modes-of-learning,daily,2025-05-28,"Connor Boyack's simple analogy exposes a major flaw in the way we teach. PLUS: Kids building real businesses, not resumes."
🐴 Why kids forget what they learn in textbooks,https://opened.co/newsletter/why-kids-forget-what-they-learn-in-textbooks,daily,2025-05-29,Connor Boyack – the Tuttle Twins creator – on why storytelling makes learning sticks where lesson plans often fail...
The Homeschool Parent's Guide to Dyslexia: When to DIY vs. When to Call the Experts,https://opened.co/blog/the-homeschool-parents-guide-to-dyslexia-when-to-diy-vs-when-to-call-the-experts,blog,2025-08-06,"Homeschool dyslexia guide: Learn when to DIY vs. hire specialists, spot red flags, choose reading programs like Barton and Wilson, plus get expert resources."
Dispelling Dyslexia Myths with the Science of Reading,https://opened.co/podcast/dispelling-dyslexia-myths-with-the-science-of-reading,podcast,2025-08-06,"Reading specialists Kris Vassel and Jamie Lesko debunk misconceptions around dyslexia, and explain why early intervention can change everything"
9 Future-Proof Career Prep Strategies for Homeschooled Teens,https://opened.co/blog/homeschool-career-prep-future-proof,blog,2025-08-01,"Career prep for the AI age: 9 experts share alternatives to college including skilled trades, tech certifications, apprenticeships, and entrepreneurship paths."
🐴 He let his kids skip school. They still made student council.,https://opened.co/newsletter/he-let-his-kids-skip-school-they-still-made-student-council,daily,2025-08-01,
🐴 Textbooks vs. Chromebooks,https://opened.co/newsletter/textbooks-vs-chromebooks,daily,2025-07-29,
🐴 When 'sit still!' stops working,https://opened.co/newsletter/when-sit-still-stops-working,daily,2025-07-30,
What the New York Times got wrong about homeschooling,https://opened.co/blog/what-the-new-york-times-got-wrong-about-homeschooling,blog,2025-07-30,Why recent homeschooling coverage misses the mark: Families aren't retreating from education—they're personalizing it across the political spectrum.
I Let My Kids Skip School. They Still Made Student Council.,https://opened.co/podcast/kids-skipped-school,podcast,2025-07-31,How a speaking coach's journey from traditional schooling to educational freedom became the ultimate lesson in turning a message into a movement.
Skills Over Degrees: The New Career Reality,https://opened.co/newsletter/skills-over-degrees-the-new-career-reality,daily,2025-06-06,"From career clarity for teens to AI tutors that ease learning anxiety, this issue covers Coleman’s “three wires,” the shift away from degrees, top resources families clicked most, and eye-opening trend data."
🐴 Stop raising well-rounded kids,https://opened.co/newsletter/stop-raising-well-rounded-kids,daily,2025-06-05,"""I don't want a well-rounded kid,"" says career expert Ken Coleman. The world pays for sharp edges, not blunt tools. PLUS: The parenting shift that's creating anxious kids.
"
🐴 Everyone said he’d fail. He didn’t.,https://opened.co/newsletter/everyone-said-hed-fail-he-didnt,daily,2025-06-04,"Could fitness culture make a comeback in schools? Plus: a better way to teach essays, and a math tutor used by 8 million people.
"
🐴 Why do we focus on the 10% (when kids remember 95%)?,https://opened.co/newsletter/why-do-we-focus-on-the-10-when-kids-remember-95,daily,2025-06-03,Why teaching beats studying; an AI tutor that never judges. PLUS: Free Harvard courses.
🐴 Why art history grads are beating engineers,https://opened.co/newsletter/why-art-history-grads-are-beating-engineers,daily,2025-06-02,The market’s shifting. Soft skills are back. PLUS: Matt Bowman's 3 C's for faster learning.
"🐴 Parents as curators, not classroom instructors",https://opened.co/newsletter/parents-as-curators-not-classroom-instructors,daily,2025-07-11,The evolution of modern homeschooling. PLUS: Michelle Rhee's teaching transformation.
🐴 22-year-old George Washington's epic failure (it didn't define him),https://opened.co/newsletter/22-year-old-george-washingtons-epic-failure-it-didnt-define-him,daily,2025-07-04,How Young George accidentally started a world war. PLUS: A recap of the best links from the first half of 2025.
🐴 George Washington's epic failure,https://opened.co/newsletter/george-washingtons-epic-failure,daily,2025-07-02,George Washington accidentally started a world war. PLUS: Why Hollywood's gatekeepers are losing power.
🐴 Steve Jobs cut 70% of products. It saved Apple.,https://opened.co/newsletter/steve-jobs-cut-70-of-products-it-saved-apple,daily,2025-06-30,How brutal simplicity led to the turnaround of the century. PLUS: Why schools fail entrepreneurs every day.
🐴 Mythbusting 'one size fits all',https://opened.co/newsletter/mythbusting-one-size-fits-all,daily,2025-06-27,"MythBusters host Adam Savage's epic rant against standardized schooling. PLUS: Paper beats screens, movement beats sitting, and other surprises from this week."
